"title","country_count"
"Be Here Now","2"
"Bean: The Ultimate Disaster Movie","2"
"Beat Bugs","2"
"Beat Bugs: All Together Now","2"
"Becoming Jane","2"
"Behind ""The Cove"": The Quiet Japanese Speak Out","2"
"Benji","2"
"Beowulf","2"
"Best Lover","2"
"Beyond All Boundaries","2"
"Beyond the Clouds","2"
"Big Fat Liar","2"
"Big Miracle","2"
"Big Time Movie","2"
"Bigfoot Family","2"
"Bill Burr: Paper Tiger","2"
"Billy Elliot","2"
"Bir Baba Hindu","2"
"Birders","2"
"Birdshot","2"
"Black Hawk Down","2"
"Black Snow","2"
"Black Spot","2"
"Black Summer","2"
"Blind Intersections","2"
"Blinky Bill: The Movie","2"
"Bliss","2"
"Blood Will Tell","2"
"Blue Ruin","2"
"Blue Streak","2"
"Bobby Sands: 66 Days","2"
"Bokeh","2"
"Bordertown","2"
"Born in Syria","2"
"Born to Be Free","2"
"Bottom of the World","2"
"Boyka: Undisputed","2"
"Brahman Naman","2"
"Brave Blue World: Racing to Solve Our Water Crisis","2"
"Break","2"
"Brothers","2"
"Budapest","2"
"Buddi","2"
"Buffalo Boys","2"
"Bullet Head","2"
"Bureau of Magical Things","2"
"Burn Out","2"
"Burning","2"
"Cake","2"
"Camelia la Texana","2"
"Candyman","2"
"Cannon Busters","2"
"Capital in the Twenty-First Century","2"
"Carbon","2"
"Carmen Sandiego: To Steal or Not to Steal","2"
"Casa de mi Padre","2"
"Case 39","2"
"Catch Me If You Can","2"
"Cats & Dogs: The Revenge of Kitty Galore","2"
"Cézanne et moi","2"
"Chandani: The Daughter of the Elephant Whisperer","2"
"Chappaquiddick","2"
"Chappie","2"
"Charlie and the Chocolate Factory","2"
"Charlie's Angels","2"
"Chauthi Koot","2"
"Children of the Sea","2"
"Chip and Potato","2"
"Chitty Chitty Bang Bang","2"
"Christine","2"
"Christmas Crush","2"
"Clear and Present Danger","2"
"Close","2"
"Close Enemies","2"
"Closed Circuit","2"
"Cloudburst","2"
